# WARNCELLID,NAME,LATLON
101001000,Stadt Flensburg,"54.7862616,9.4341114"
101002000,Stadt Kiel,"54.395531899999995,10.36956268038591"
101003000,Hansestadt Lübeck,"53.866444,10.684738"
101004000,Stadt Neumünster,"54.0763188,9.9801573"
101051000,Kreis Dithmarschen,"54.1331231,9.0799113"
101053000,Kreis Herzogtum Lauenburg,"53.59366475,10.664326241692065"
101054000,Kreis Nordfriesland,"54.6591848,8.998149926747127"
101055000,Kreis Ostholstein,"54.1766629,10.84762"
101056000,Kreis Pinneberg,"53.7278939,9.6979598"
101057000,Kreis Plön,"54.24611515,10.413274327272728"
101058000,Kreis Rendsburg-Eckernförde,"54.327869500000006,9.720589290602598"
101059000,Kreis Schleswig-Flensburg,"54.579719350000005,9.533193824950633"
101060000,Kreis Segeberg,"53.9232287,10.1612312"
101061000,Kreis Steinburg,"53.9409342,9.5157896"
101062000,Kreis Stormarn,"53.7215127,10.3586145"
102000000,Hansestadt Hamburg,"53.4344365,10.3003779"
103101000,Stadt Braunschweig,"52.2640761,10.5510166"
103102000,Stadt Salzgitter,"52.1562494,10.3282419"
103103000,Stadt Wolfsburg,"52.4359747,10.813609239526107"
103151000,Kreis Gifhorn,"52.569228,10.5216368"
103153000,Kreis Goslar,"54.073787749999994,10.773343678113694"
103154000,Kreis Helmstedt,"52.2312786,10.9260726"
103155000,Kreis Northeim,"51.64996565,9.43335871747735"
103157000,Kreis Peine,"51.7108905,9.084504654164038"
103158000,Kreis Wolfenbüttel,"54.0357916,9.0771537"
103159000,Kreis Göttingen,"48.4728004,10.080002412155292"
103241000,Region Hannover,"52.4026852,9.801197840611401"
103251000,Kreis Diepholz,"52.611121,8.468965601328117"
103252000,Kreis Hameln-Pyrmont,"52.2130196,9.4536495"
103254000,Kreis Hildesheim,"52.1435959,9.8746269"
103255000,Kreis Holzminden,"51.8271933,9.4387596"
103256000,Kreis Nienburg (Weser),"52.6384265,9.235590364718732"
103257000,Kreis Schaumburg,"50.33948155,7.9784308849342604"
103351000,Kreis Celle,"52.6456208,10.0278508"
103352000,Kreis Cuxhaven,"53.5898883,8.8067513"
103353000,Kreis Harburg,"53.3890454,10.4459358"
103354000,Kreis Lüchow-Dannenberg,"53.1297437,11.233894"
103355000,Kreis Lüneburg,"54.07357845,10.77185860729335"
103356000,Kreis Osterholz,"51.2262003,7.025152678471909"
103357000,Kreis Rotenburg (Wümme),"52.8974295,9.292322294300035"
103358000,Heidekreis,"52.8217435,9.6601426"
103359000,Kreis Stade,"51.0584847,7.8422541"
103360000,Kreis Uelzen,"51.5422328,7.7236103"
103361000,Kreis Verden,"52.8974295,9.292322294300035"
103401000,Stadt Delmenhorst,"53.0485345,8.6190729"
103402000,Stadt Emden,"53.3653764,7.206673987345784"
103403000,Stadt Oldenburg (Oldb),"53.138771,8.2138483"
103404000,Stadt Osnabrück,"52.27294755,8.061504371664096"
103405000,Stadt Wilhelmshaven,"53.5364309,8.0699401"
103451000,Kreis Ammerland,"50.9048272,7.1935135"
103452000,Kreis Aurich,"53.419413,7.098833"
103453000,Kreis Cloppenburg,"51.7160088,8.7484024"
103454000,Kreis Emsland,"51.85622085,8.36710086148129"
103455000,Kreis Friesland,"54.6591848,8.998149926747127"
103456000,Kreis Grafschaft Bentheim,"52.5370787,6.7556319"
103457000,Kreis Leer,"52.11463155,7.295291754775832"
103458000,Kreis Oldenburg,"51.839345800000004,9.227378749999998"
103459000,Kreis Osnabrück,"52.2824766,7.9371938"
103460000,Kreis Vechta,"51.9271906,7.86837233283371"
103461000,Kreis Wesermarsch,"53.357451,8.1307589"
103462000,Kreis Wittmund,"53.6009025,7.4751308"
104011000,Hansestadt Bremen,"53.0758196,8.8071646"
104012000,Stadt Bremerhaven,"53.555329,8.5909103"
105111000,Stadt Düsseldorf,"51.2564578,6.7498305"
105112000,Stadt Duisburg,"51.4596478,6.7298616"
105113000,Stadt Essen,"51.4475032,7.0432708"
105114000,Stadt Krefeld,"51.3036669,6.5052601"
105116000,Stadt Mönchengladbach,"51.1288353,6.4214767"
105117000,Stadt Mülheim an der Ruhr,"51.4277052,6.877259586322582"
105119000,Stadt Oberhausen,"51.528447,6.8570881"
105120000,Stadt Remscheid,"51.1688337,7.1495868"
105122000,Stadt Solingen,"51.13801345,7.148321050000002"
105124000,Stadt Wuppertal,"51.257369249999996,7.1466392156630345"
105154000,Kreis Kleve,"51.6299669,6.200945825316141"
105158000,Kreis Mettmann,"51.2529687,6.977586"
105162000,Rhein-Kreis Neuss,"51.1758799,6.6600605780584905"
105166000,Kreis Viersen,"51.29587305,6.319948250804863"
105170000,Kreis Wesel,"51.60293755,6.605002354945109"
105314000,Bonn,"50.735851,7.10066"
105315000,Stadt Köln,"50.9567195,6.8662818"
105316000,Stadt Leverkusen,"51.0545718,7.0141162072473495"
105334000,StädteRegion Aachen,"50.7611222,6.2055544"
105358000,Kreis Düren,"50.8032819,6.4822764"
105362000,Rhein-Erft-Kreis,"50.90334,6.763334"
105366000,Kreis Euskirchen,"50.6612623,6.7871219"
105370000,Kreis Heinsberg,"51.0655162,6.0984046"
105374000,Oberbergischer Kreis,"51.03461315,7.52435320757235"
105378000,Rheinisch-Bergischer Kreis,"51.01403715,7.17161321648333"
105382000,Rhein-Sieg-Kreis,"50.75279855,7.381303798517825"
105512000,Stadt Bottrop,"51.60218415,6.93021811419087"
105513000,Stadt Gelsenkirchen,"51.49343265,7.135314576615165"
105515000,Stadt Münster,"51.960698300000004,7.633047603081664"
105554000,Kreis Borken,"51.9859378,6.946333178164557"
105558000,Kreis Coesfeld,"51.8634761,7.320806932263865"
105562000,Kreis Recklinghausen,"51.6708384,7.146167864467408"
105566000,Kreis Steinfurt,"52.234923,7.51210543809956"
105570000,Kreis Warendorf,"51.9533241,7.9917445"
105711000,Stadt Bielefeld,"52.0134195,8.5210468"
105754000,Kreis Gütersloh,"51.903622,8.3810659"
105758000,Kreis Herford,"52.1678893,8.6446072"
105762000,Kreis Höxter,"51.6887952,9.1960369"
105766000,Kreis Lippe,"51.991762550000004,8.916596968343498"
105770000,Kreis Minden-Lübbecke,"52.3214469,8.711927"
105774000,Kreis Paderborn,"51.662729049999996,8.771403681280422"
105911000,Stadt Bochum,"51.47795895,7.21479015"
105913000,Stadt Dortmund,"51.51145794999999,7.46520083089969"
105914000,Stadt Hagen,"51.355949550000005,7.474000458111946"
105915000,Stadt Hamm,"51.6893437,7.8439343"
105916000,Stadt Herne,"51.5582721,7.2091267"
105954000,Ennepe-Ruhr-Kreis,"51.3481444,7.3351844"
